Theta\rho	1.0000	1.0102	1.0203	1.0304	1.0405	1.0506	1.0607	1.0708	1.0809	1.091	1.1011	1.1112	1.1213	1.1314	1.1415	1.1516	1.1617	1.1718	1.1819	1.192	1.2021	1.2122	1.2223	1.2324	1.2425	1.2526	1.2627	1.2728	1.2829	1.293	1.3031	1.3132	1.3233	1.3334	1.3435	1.3536	1.3637	1.3738	1.3839	1.394	1.4041	1.4142	1.4243	1.4344	1.4445	1.4546	1.4647	1.4748	1.4849	1.495	1.505	1.5151	1.5252	1.5353	1.5454	1.5555	1.5656	1.5757	1.5858	1.5959	1.606	1.6161	1.6262	1.6363	1.6464	1.6565	1.6666	1.6767	1.6868	1.6969	1.707	1.7171	1.7272	1.7373	1.7474	1.7575	1.7676	1.7777	1.7878	1.7979	1.808	1.8181	1.8282	1.8383	1.8484	1.8585	1.8686	1.8787	1.8888	1.8989	1.909	1.9191	1.9292	1.9393	1.9494	1.9595	1.9696	1.9797	1.9898	2.0000
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0006	89.9913	21.0334	5.5446	2.4783	1.3967	0.8947	0.6215	0.4567	0.3497	0.2762	0.2237	0.1848	0.1552	0.1322	0.1139	0.0992	0.0871	0.0771	0.0687	0.0616	0.0555	0.0503	0.0458	0.0419	0.0384	0.0354	0.0326	0.0302	0.0281	0.0261	0.0244	0.0228	0.0214	0.02	0.0189	0.0178	0.0168	0.0158	0.015	0.0142	0.0135	0.0128	0.0122	0.0116	0.011	0.0105	0.01	0.0096	0.0092	0.0088	0.0084	0.0081	0.0077	0.0074	0.0071	0.0069	0.0066	0.0063	0.0061	0.0059	0.0057	0.0055	0.0053	0.0051	0.0049	0.0047	0.0046	0.0044	0.0043	0.0041	0.004	0.0039	0.0038	0.0036	0.0035	0.0034	0.0033	0.0032	0.0031	0.003	0.0029	0.0029	0.0028	0.0027	0.0026	0.0025	0.0025	0.0024	0.0023	0.0023	0.0022	0.0021	0.0021	0.002	0.002	0.0019	0.0019	0.0018	0.0018	0.0017	
0.0907	89.9999	89.0584	86.2753	81.6927	75.4687	67.9671	59.7775	51.5929	44.0004	37.3401	31.7072	27.0391	23.2037	20.0559	17.4636	15.3163	13.5249	12.0192	10.7441	9.6563	8.7219	7.914	7.211	6.5959	6.0548	5.5764	5.1514	4.7723	4.4327	4.1273	3.8518	3.6023	3.3757	3.1693	2.9808	2.8081	2.6496	2.5037	2.3691	2.2448	2.1296	2.0227	1.9234	1.8309	1.7446	1.664	1.5886	1.518	1.4517	1.3894	1.3308	1.2757	1.2236	1.1745	1.1281	1.0842	1.0427	1.0033	0.9659	0.9304	0.8966	0.8646	0.834	0.8049	0.7771	0.7506	0.7253	0.7012	0.6781	0.6559	0.6348	0.6145	0.595	0.5764	0.5585	0.5413	0.5248	0.5089	0.4936	0.4789	0.4648	0.4511	0.438	0.4254	0.4131	0.4014	0.39	0.379	0.3684	0.3581	0.3482	0.3386	0.3293	0.3204	0.3117	0.3032	0.2951	0.2872	0.2795	0.2721	
0.1808	90.0	89.5277	88.1298	85.8112	82.5925	78.5255	73.712	68.3147	62.5528	56.6764	50.9267	45.4983	40.5187	36.0488	32.0966	28.6354	25.6204	22.9997	20.7216	18.7381	17.0067	15.4903	14.1575	12.9818	11.9406	11.015	10.1892	9.4498	8.7855	8.1866	7.6451	7.1539	6.7071	6.2995	5.9268	5.5852	5.2713	4.9822	4.7153	4.4686	4.24	4.0277	3.8304	3.6465	3.475	3.3148	3.1648	3.0243	2.8924	2.7684	2.6519	2.542	2.4385	2.3407	2.2483	2.1609	2.0781	1.9996	1.9251	1.8544	1.7872	1.7233	1.6624	1.6044	1.5491	1.4963	1.4459	1.3977	1.3517	1.3076	1.2654	1.2249	1.1862	1.149	1.1133	1.0791	1.0461	1.0145	0.9841	0.9548	0.9266	0.8994	0.8732	0.848	0.8236	0.8002	0.7775	0.7556	0.7344	0.714	0.6942	0.6751	0.6566	0.6387	0.6213	0.6046	0.5883	0.5725	0.5572	0.5424	
0.2708	90.0	89.6848	88.7516	87.2018	85.0411	82.2852	78.9658	75.1374	70.8822	66.3094	61.5494	56.7407	52.0147	47.482	43.2234	39.2889	35.7002	32.4577	29.5469	26.9442	24.6222	22.5519	20.7055	19.0567	17.5821	16.2604	15.0732	14.004	13.0387	12.165	11.3723	10.6512	9.9936	9.3925	8.8419	8.3363	7.871	7.4421	7.0458	6.679	6.3389	6.0229	5.7289	5.4549	5.1991	4.96	4.7362	4.5264	4.3294	4.1443	3.9701	3.8059	3.6511	3.5049	3.3667	3.236	3.1121	2.9947	2.8833	2.7775	2.6769	2.5812	2.4901	2.4032	2.3204	2.2414	2.166	2.0938	2.0249	1.9589	1.8957	1.8351	1.7771	1.7214	1.668	1.6167	1.5673	1.5199	1.4743	1.4305	1.3882	1.3475	1.3083	1.2705	1.2341	1.1989	1.1649	1.1321	1.1004	1.0698	1.0402	1.0115	0.9838	0.957	0.931	0.9058	0.8815	0.8578	0.8349	0.8127	
0.3609	90.0	89.7635	89.0632	87.8995	86.2748	84.1956	81.6752	78.7375	75.42	71.7758	67.8737	63.7958	59.6314	55.4704	51.395	47.4741	43.7594	40.2847	37.0677	34.1129	31.4146	28.9606	26.7347	24.7185	22.8933	21.2407	19.7432	18.3848	17.1508	16.028	15.0046	14.0701	13.2151	12.4313	11.7115	11.0492	10.4387	9.8748	9.3532	8.8697	8.4209	8.0036	7.6149	7.2525	6.9139	6.5972	6.3005	6.0223	5.761	5.5154	5.2841	5.0661	4.8605	4.6663	4.4826	4.3088	4.1442	3.9881	3.8399	3.6991	3.5653	3.438	3.3167	3.2012	3.091	2.9858	2.8854	2.7894	2.6975	2.6097	2.5255	2.4449	2.3676	2.2935	2.2223	2.154	2.0883	2.0252	1.9644	1.906	1.8497	1.7955	1.7433	1.6929	1.6443	1.5975	1.5522	1.5085	1.4663	1.4255	1.386	1.3479	1.3109	1.2752	1.2406	1.2071	1.1746	1.1431	1.1126	1.083	
0.451	90.0	89.8107	89.2503	88.3188	87.0174	85.3493	83.3212	80.9454	78.2417	75.239	71.9764	68.5033	64.8775	61.1626	57.4237	53.7229	50.1153	46.646	43.349	40.2466	37.351	34.6657	32.1878	29.9095	27.8199	25.9065	24.1557	22.5542	21.0889	19.7473	18.5178	17.3899	16.3539	15.4008	14.5229	13.713	12.9647	12.2722	11.6303	11.0346	10.4808	9.9652	9.4846	9.0358	8.6163	8.2236	7.8555	7.5101	7.1855	6.8802	6.5926	6.3215	6.0656	5.8238	5.5952	5.3787	5.1736	4.979	4.7943	4.6189	4.452	4.2933	4.142	3.9979	3.8604	3.7292	3.6039	3.4841	3.3695	3.2598	3.1548	3.0542	2.9577	2.8651	2.7763	2.6909	2.6089	2.5301	2.4542	2.3812	2.311	2.2433	2.178	2.1151	2.0545	1.9959	1.9394	1.8848	1.8321	1.7811	1.7318	1.6841	1.638	1.5934	1.5501	1.5082	1.4677	1.4283	1.3902	1.3532	
0.5411	90.0	89.8422	89.3751	88.5986	87.5133	86.121	84.4255	82.4338	80.1575	77.6137	74.8263	71.8265	68.6524	65.3482	61.962	58.5436	55.1413	51.7995	48.5562	45.4419	42.479	39.6822	37.0591	34.6117	32.3376	30.231	28.2837	26.4865	24.829	23.3012	21.8926	20.5937	19.395	18.288	17.2648	16.3178	15.4405	14.6267	13.8709	13.1681	12.5137	11.9036	11.3341	10.8018	10.3036	9.8368	9.399	8.9878	8.6012	8.2372	7.8943	7.5708	7.2654	6.9766	6.7035	6.4448	6.1996	5.967	5.7462	5.5363	5.3367	5.1467	4.9657	4.7931	4.6285	4.4714	4.3213	4.1778	4.0405	3.9091	3.7833	3.6627	3.5471	3.4362	3.3297	3.2274	3.1291	3.0346	2.9437	2.8562	2.7719	2.6908	2.6126	2.5372	2.4644	2.3942	2.3264	2.261	2.1977	2.1366	2.0775	2.0203	1.965	1.9114	1.8596	1.8093	1.7607	1.7135	1.6677	1.6234	
0.6312	90.0	89.8648	89.4643	88.7986	87.8679	86.6734	85.2172	83.5038	81.5404	79.3379	76.9118	74.2827	71.4764	68.5241	65.4612	62.3259	59.1579	55.9959	52.8763	49.8309	46.8865	44.0636	41.3771	38.8365	36.4461	34.2065	32.1153	30.1674	28.3565	26.6751	25.1151	23.6684	22.3268	21.0823	19.9275	18.8552	17.8587	16.9319	16.0692	15.2652	14.5152	13.8148	13.16	12.5472	11.9731	11.4345	10.9289	10.4536	10.0063	9.5851	9.1879	8.813	8.4588	8.1239	7.8068	7.5065	7.2218	6.9515	6.6949	6.4509	6.2188	5.9978	5.7872	5.5865	5.395	5.2121	5.0373	4.8703	4.7105	4.5575	4.4109	4.2705	4.1358	4.0066	3.8825	3.7633	3.6488	3.5387	3.4327	3.3308	3.2326	3.138	3.0468	2.9589	2.8741	2.7923	2.7132	2.6369	2.5632	2.4919	2.423	2.3563	2.2918	2.2294	2.1689	2.1103	2.0536	1.9986	1.9452	1.8935	
